5, 90.0, 4.4
10, 95.4, 4.4
15, 91.8, 4.4
20, 94.1, 4.4
25, 95.5, 4.4
30, 92.8, 4.4
35, 87.7, 0.0
40, 77.5, 0.0
45, 68.0, 0.0
50, 61.7, 0.0
55, 56.4, 0.0
60, 52.0, 0.0
65, 48.3, 0.0
70, 45.0, 0.0
75, 41.6, 0.0
80, 39.2, 0.0
85, 37.0, 0.0
90, 35.0, 0.0
95, 33.3, 0.0
100, 31.7, 0.0
105, 30.3, 0.0
110, 33.5, 4.7
115, 36.7, 4.7
120, 39.5, 4.7
125, 41.9, 4.7
130, 44.5, 4.7
135, 46.9, 4.7
140, 48.8, 4.7
145, 47.6, 0.0
150, 45.8, 0.0
155, 44.5, 0.0
160, 43.2, 0.0
165, 42.0, 0.0
170, 40.9, 0.0
175, 39.8, 0.0
180, 38.8, 0.0
185, 37.8, 0.0
190, 36.7, 0.0
195, 35.8, 0.0
200, 35.0, 0.0
205, 34.2, 0.0
210, 33.4, 0.0
215, 32.6, 0.0
220, 32.7, 3.9
225, 34.3, 3.9
230, 35.9, 3.9
235, 37.4, 3.9
240, 38.8, 3.9
245, 40.1, 3.9
250, 41.1, 3.9
255, 42.2, 3.9
260, 41.7, 0.0
265, 41.0, 0.0
270, 40.3, 0.0
275, 39.6, 0.0
280, 38.9, 0.0
285, 38.2, 0.0
290, 37.6, 0.0
295, 37.0, 0.0
300, 36.4, 0.0
