5, 0.0, 0.0
10, 94.0, 0.0
15, 96.0, 0.0
20, 95.8, 0.0
25, 93.2, 0.0
30, 94.2, 0.0
35, 95.1, 0.0
40, 96.0, 0.0
45, 94.7, 0.0
50, 95.4, 0.0
55, 96.1, 0.0
60, 96.5, 0.0
65, 92.8, 0.0
70, 86.5, 0.0
75, 81.0, 0.0
80, 75.3, 0.0
85, 71.1, 0.0
90, 67.4, 0.0
95, 67.6, 0.0
100, 69.3, 0.0
105, 70.8, 0.0
110, 71.8, 0.0
115, 73.2, 0.0
120, 74.0, 0.0
125, 75.2, 0.0
130, 76.0, 0.0
135, 77.1, 0.0
140, 78.2, 0.0
145, 77.6, 0.0
150, 74.8, 0.0
155, 72.6, 0.0
160, 70.5, 0.0
165, 68.6, 0.0
170, 66.7, 0.0
175, 65.0, 0.0
180, 64.3, 0.0
185, 65.3, 0.0
190, 65.9, 0.0
195, 66.7, 0.0
200, 67.6, 0.0
205, 68.4, 0.0
210, 69.1, 0.0
215, 69.9, 0.0
220, 70.4, 0.0
225, 71.2, 0.0
230, 71.9, 0.0
235, 72.4, 0.0
240, 73.1, 0.0
245, 73.6, 0.0
250, 72.0, 0.0
255, 70.7, 0.0
260, 69.5, 0.0
265, 68.3, 0.0
270, 67.1, 0.0
275, 66.0, 0.0
280, 64.9, 0.0
285, 63.8, 0.0
290, 63.3, 0.0
295, 64.0, 0.0
300, 64.6, 0.0
